claim_id,claim_text,classification,source_institution,url,data_period,verified,notes
C-01,"Pakistan Railways freight tonnage peaked at approximately 12 million tonnes in 1988",REPORTED,CEIC / Ministry of Finance Pakistan,https://www.ceicdata.com/en/pakistan/railways-statistics/pakistan-railways-freight-carried,1988,No,"CEIC aggregates MoF data; direct primary source not accessed due to proxy block. All-time high confirmed by multiple sources."
C-02,"Pakistan Railways freight tonne-km peaked at 8,364 million in 1989",REPORTED,CEIC / Ministry of Finance Pakistan,https://www.ceicdata.com/en/pakistan/railways-statistics,1989,No,"Tonne-km series; consistent with tonnage peak one year later. CEIC is secondary aggregator."
C-03,"Pakistan Railways freight fell to a record low of approximately 1 million tonnes in 2014",REPORTED,CEIC / Ministry of Finance Pakistan,https://www.ceicdata.com/en/pakistan/railways-statistics/pakistan-railways-freight-carried,2014,No,"Record low confirmed across multiple search results. Proxy blocked direct source access."
C-04,"Pakistan Railways freight tonne-km fell to 402 million in 2012 (record low)",REPORTED,CEIC / Ministry of Finance Pakistan,https://www.ceicdata.com/en/pakistan/railways-statistics,2012,No,"Tonne-km low in 2012; tonnage low in 2014. Different metrics with different lows."
C-05,"Pakistan Railways transported 8.2 million tonnes of freight in FY2024-25",REPORTED,Pakistan Railways / APP,https://www.app.com.pk/national/railways-transports-8-2-mln-tonnes-of-freight-in-fiscal-year-2024-25/,FY2024-25,No,"[VERIFY] Conflicts with separate source stating 5.8 million tonnes for same period. Must resolve before scripting."
C-06,"A separate source states Pakistan Railways freight was 5.8 million tonnes in FY2024-25",UNRESOLVED,ADB/World Bank derived summary,N/A,FY2024-25,No,"[VERIFY] Directly contradicts C-05. Could reflect different counting methodology (e.g. excluding certain wagon types). Do not use either figure until reconciled."
C-07,"Pakistan Railways carried 5.1 million tonnes of freight in calendar year 2024 (up from 4.29 million in CY2023)",REPORTED,CEIC summary data,https://www.ceicdata.com/en/pakistan/railways-statistics/pakistan-railways-freight-carried,CY2023-CY2024,No,"[VERIFY] These are calendar year figures. The gap vs FY2024-25 figure (8.2m) suggests counting methodology difference or unit confusion."
C-08,"Pakistan Railways freight averaged 6.895 million tonnes per year from 1981 to 2024",REPORTED,CEIC / Ministry of Finance Pakistan,https://www.ceicdata.com/en/pakistan/railways-statistics/pakistan-railways-freight-carried,1981-2024,No,"Long-run average. Useful context for scripting."
C-09,"Pakistan Railways freight during 1985-90 averaged approximately 10,959 thousand tonnes (10.96 million tonnes) per year",REPORTED,PIDE / academic literature (Hindawi/Wiley 2018),https://onlinelibrary.wiley.com/doi/10.1155/2018/2670346,1985-1990,No,"[VERIFY unit interpretation] Consistent with CEIC peak of 12m in 1988. Source not directly accessed."
C-10,"Pakistan Railways freight during 2012-13 fell to approximately 1,016 thousand tonnes (1.016 million tonnes)",REPORTED,PIDE / academic literature,https://onlinelibrary.wiley.com/doi/10.1155/2018/2670346,2012-2013,No,"Consistent with CEIC record low of 1.0m in 2014."
