claim_id,claim_text,classification,source,url,verified
C001,Lahore Metro Bus opened February 11 2013,REPORTED,Wikipedia/general reference,https://en.wikipedia.org/wiki/Lahore_Metrobus,partial
C002,Lahore Metro Bus capital cost was Rs 29.65 billion (Rs 29.61bn per Punjab Transport Department),REPORTED,Express Tribune coverage of AGP findings,https://tribune.com.pk/story/1309164/worth-millions-agp-reports-payments-lahore-metro-bus-project,partial
C003,AGP found overpayments of Rs 318.68 million during Lahore Metro Bus construction,REPORTED,Express Tribune,https://tribune.com.pk/story/1309164/worth-millions-agp-reports-payments-lahore-metro-bus-project,partial
C004,Lahore Metro Bus current fare is Rs 30 per trip,VERIFIED,Punjab Masstransit Authority fare policy page,https://pma.punjab.gov.pk/fare-policy,yes
C005,Lahore Metro Bus ridership is approximately 135000/day (2024),REPORTED,Punjab Masstransit Authority (cited via press),https://en.wikipedia.org/wiki/Lahore_Metro,partial
C006,Lahore Metro Bus annual subsidy is Rs 2.75 billion (Nov 2025 report),REPORTED,undated November 2025 aggregate report,,partial
C007,Lahore Metro Bus annual subsidy was Rs 4.25 billion in an earlier (c.2016-18) period,REPORTED,PIDE "Exposing the Metro Bus Scheme" era estimate,https://pide.org.pk/blog/exposing-the-metro-bus-scheme/,partial
C008,Orange Line Metro Train (OLMT) inaugurated October 25 2020,REPORTED,general press coverage,,partial
C009,OLMT capital cost approximately Rs 162 billion,UNRESOLVED,AI-generated social media post (X/Grok) — DISCARDED as invalid source,,no
C010,OLMT-Metrobus transfer fare is Rs 25-45 by distance,VERIFIED,Punjab Masstransit Authority fare policy page,https://pma.punjab.gov.pk/fare-policy,yes
C011,OLMT break-even fare per passenger is Rs 171 (Rs128 loan service + Rs43 operating) vs Rs65 for Metro Bus,REPORTED,Express Tribune - OLMT revenue shortfall coverage,https://tribune.com.pk/story/2282693/olmts-revenue-shortfall-soars,partial
