claim_id,claim_text,classification,source,url,verified
C001,Karachi Port and Port Qasim together handle approximately 90% of Pakistan's external/seaborne trade,REPORTED,Pakistan Single Window / Paradigm Shift analysis (multiple outlets),https://www.paradigmshift.com.pk/pakistan-seaport/,partial
C002,Over 95% of Pakistan's total trade volume moves by sea,REPORTED,general trade-statistics press coverage,,partial
C003,Individual Karachi Port / Port Qasim trade-share percentages vary across sources (54-64% and 35-51% respectively) and do not reconcile,UNRESOLVED,multiple conflicting press sources,,partial
C004,Karachi Port Trust FY2024-25 cargo throughput was 53.95 million tons (138-year record) - 41.68 million tons dry cargo + 12.28 million tons liquid bulk + 2.65 million TEUs containers,REPORTED,Profit by Pakistan Today / Business Recorder / Arab News / Dawn / Bloom Pakistan,https://www.arabnews.com/node/2606658/pakistan,partial
C005,Karachi Port Trust FY2025-26 cargo throughput rose to 55.44 million tons (up 2.76% year-on-year),REPORTED,Profit by Pakistan Today / Business Recorder,https://profit.pakistantoday.com.pk/2026/08/01/kpt-cargo-throughput-surges-past-55-million-tons-in-fy26-on-import-boom,partial
C006,Port Qasim FY2024-25 grand total cargo throughput was 45.305 million tonnes (13.48M dry + 19.091M liquid + 12.734M container by weight),VERIFIED,Port Qasim Authority official port-performance page,https://www.pqa.gov.pk/en/port-operations/port-performance,yes
C007,Combined Karachi Port + Port Qasim FY2024-25 throughput is approximately 99.3 million tonnes,ESTIMATE,Claude's addition of C004 and C006,,partial
C008,Gwadar Port cargo throughput was 34000 tonnes in 2024 down from 592000 tonnes in 2023,REPORTED,Arab News / multiple government-statement-citing press,,partial
C009,Gwadar has handled a cumulative total of 4789 containers since operations began against an installed annual capacity of 240000 TEUs,REPORTED,government statement to National Assembly cited by press,,partial
C010,Gwadar's second-phase development was handed to China Overseas Port Holding Company (COPHC) in February 2013,REPORTED,Middle East Institute / general CPEC history sources,https://mei.edu/publication/gwadar-future-china-and-pakistans-troubled-strategic-port-arabian-sea/,partial
C011,COPHC invested approximately $1.62 billion in Gwadar port development; a second reported $1.62 billion Phase II figure may be a duplicate of the same figure rather than a separate tranche,UNRESOLVED,Express Tribune / CPIC Global (conflicting duplication),https://tribune.com.pk/story/1713686/1-china-invested-248m-gwadar-port-first-phase,partial
C012,Broader CPEC investment pledges grew from an initial ~$46 billion to ~$62 billion roughly one-fifth of Pakistan's GDP at the time,REPORTED,Middle East Institute analysis,https://mei.edu/publication/gwadar-future-china-and-pakistans-troubled-strategic-port-arabian-sea/,partial
C013,Gwadar's deep-water port became formally operational in 2016 a decade after first-phase construction completed with three berths and initial installed capacity of 137000 containers per year,REPORTED,Charter Cities Institute / general CPEC history sources,https://chartercitiesinstitute.org/blog-posts/what-happened-to-chinas-port-plans-in-pakistan/,partial
C014,In 2017 Gwadar port received only 145 TEUs of project cargo and no general commercial cargo vessel that year,REPORTED,Digital Logistics Capacity Assessments / general CPEC history sources,https://lca.logcluster.org/213-pakistan-gwadar-port,partial
C015,"Gwadar Free Zone Phase 1 has approximately 47 enterprises registered (6 factories built, 3 fully operational); a separate figure describes 35 companies registered in Free Zone South with 9 fully operational",UNRESOLVED,Graana.com / Zameen.com Gwadar Free Zone guides,https://www.graana.com/blog/gwadar-free-zone/,partial
C016,Minimum investment to register in Gwadar Free Zone is $500000 plus a $3000 registration fee,REPORTED,Gwadar Free Zone investment guides,https://www.graana.com/blog/gwadar-free-zone/,partial
C017,"The M-8 motorway (Gwadar-Ratodero, 892km planned) remains only partially built; Gwadar-Hoshab (193km) opened February 2016; Hoshab-Awaran under construction as of 2025 with over Rs25 billion allocated",REPORTED,SkyscraperCity infrastructure tracking / Wikipedia / press,https://en.wikipedia.org/wiki/M-8_motorway_(Pakistan),partial
C018,A direct Gwadar rail link (Gwadar-Mastung and Besima-Jacobabad) is a mid-term CPEC project scheduled to begin in 2025 and conclude by 2030,REPORTED,Daily CPEC / CPEC info sources,https://thedailycpec.com/ml-1-thar-link-key-to-railway-growth/,partial
C019,"In December 2024 Pakistan's Parliamentary Secretary for Planning told the National Assembly Gwadar was fully operational and equipped to handle all kinds of cargo, contradicting the 34000-tonne 2024 throughput figure",REPORTED,Arab News,https://www.arabnews.com/node/2582657/,partial
C020,"A report submitted to PM Shehbaz Sharif on Gwadar operationalization identified barriers: security concerns/insurance costs, high operational costs, lack of infrastructure, limited international interest",REPORTED,Profit by Pakistan Today,https://profit.pakistantoday.com.pk/2025/02/14/challenges-hinder-gwadar-ports-full-scale-operations-despite-incentives-report/,partial
C021,"In 2026 Gwadar's cargo activity increased sharply: approximately 11000 containers processed in April 2026 alone (more than all of 2025's ~8300 TEUs), and approximately 200000 tonnes of transit breakbulk cargo over three months, linked by reporting to Hormuz shipping disruption",REPORTED,breakbulk.news industry coverage / Asia Times,https://breakbulk.news/gwadar-port-handles-200000-tonnes-of-transit-breakbulk-cargo-amid-hormuz-disruption/,partial
