claim_id,claim_text,classification,source,url,verified
C01,FBR's tax-to-GDP ratio reached 10.3% in FY2024-25 up from 8.8% in FY2023-24,VERIFIED,"FBR Revenue Division Year Book 2024-25",https://download1.fbr.gov.pk/Docs/2025102910105049445FBRREVENUEDIVISIONYEARBOOK2024-25.pdf,yes
C02,Total FBR net tax collection was Rs 11744.3 billion in FY2024-25 up 26.3% YoY from Rs 9299.1 billion,VERIFIED,"FBR Revenue Division Year Book 2024-25",https://download1.fbr.gov.pk/Docs/2025102910105049445FBRREVENUEDIVISIONYEARBOOK2024-25.pdf,yes
C03,Direct taxes were Rs 5791.7 billion = 49.3% of total FBR collection in FY2024-25,VERIFIED,"FBR Revenue Division Year Book 2024-25",https://download1.fbr.gov.pk/Docs/2025102910105049445FBRREVENUEDIVISIONYEARBOOK2024-25.pdf,yes
C04,Indirect taxes were Rs 5952.6 billion = 50.7% of total FBR collection in FY2024-25,VERIFIED,"FBR Revenue Division Year Book 2024-25",https://download1.fbr.gov.pk/Docs/2025102910105049445FBRREVENUEDIVISIONYEARBOOK2024-25.pdf,yes
C05,Sales tax collection was Rs 3901.4 billion = 33.2% of total FBR collection in FY2024-25,VERIFIED,"FBR Revenue Division Year Book 2024-25",https://download1.fbr.gov.pk/Docs/2025102910105049445FBRREVENUEDIVISIONYEARBOOK2024-25.pdf,yes
C06,Customs duty collection was Rs 1284.6 billion = 10.9% of total FBR collection in FY2024-25,VERIFIED,"FBR Revenue Division Year Book 2024-25",https://download1.fbr.gov.pk/Docs/2025102910105049445FBRREVENUEDIVISIONYEARBOOK2024-25.pdf,yes
C07,Federal Excise Duty collection was Rs 766.6 billion = 6.5% of total FBR collection in FY2024-25,VERIFIED,"FBR Revenue Division Year Book 2024-25",https://download1.fbr.gov.pk/Docs/2025102910105049445FBRREVENUEDIVISIONYEARBOOK2024-25.pdf,yes
C08,Withholding tax collection was Rs 3381.5 billion in FY2024-25 equal to 59% of income tax collection and 28.8% of total FBR collection,VERIFIED,"FBR Revenue Division Year Book 2024-25",https://download1.fbr.gov.pk/Docs/2025102910105049445FBRREVENUEDIVISIONYEARBOOK2024-25.pdf,yes
C09,Income tax composition FY2024-25 was withholding tax 59% advance tax 33% and collection on demand (arrears) 5% up from 3% the prior year,VERIFIED,"FBR Revenue Division Year Book 2024-25",https://download1.fbr.gov.pk/Docs/2025102910105049445FBRREVENUEDIVISIONYEARBOOK2024-25.pdf,yes
C10,By subtraction only approximately 3% of income tax collected in FY2024-25 was paid voluntarily with a filed return rather than withheld advance or enforced,ESTIMATE,"Derived by subtraction from FBR Revenue Division Year Book 2024-25 percentages (59+33+5=97; remainder approx 3)",https://download1.fbr.gov.pk/Docs/2025102910105049445FBRREVENUEDIVISIONYEARBOOK2024-25.pdf,partial
C11,Salary withholding tax collection rose from Rs 391.4 billion in FY2023-24 to Rs 605.6 billion in FY2024-25 a 54.7% increase,VERIFIED,"FBR Revenue Division Year Book 2024-25 Table 8",https://download1.fbr.gov.pk/Docs/2025102910105049445FBRREVENUEDIVISIONYEARBOOK2024-25.pdf,yes
C12,Contracts withholding tax collection was Rs 737.7 billion in FY2024-25 up 39.0% from Rs 530.7 billion,VERIFIED,"FBR Revenue Division Year Book 2024-25 Table 8",https://download1.fbr.gov.pk/Docs/2025102910105049445FBRREVENUEDIVISIONYEARBOOK2024-25.pdf,yes
C13,Domestic-stage tax collection rose from 63.6% of total FBR collection in FY2023-24 to 64.8% in FY2024-25,VERIFIED,"FBR Revenue Division Year Book 2024-25",https://download1.fbr.gov.pk/Docs/2025102910105049445FBRREVENUEDIVISIONYEARBOOK2024-25.pdf,yes
