source_id,title,institution,pub_date,url,tier,notes
S-01,Pakistan Railways: Freight Carried (Economic Indicator Series),CEIC / Ministry of Finance Pakistan,Updated 2024,https://www.ceicdata.com/en/pakistan/railways-statistics/pakistan-railways-freight-carried,2,"CEIC aggregates MoF Pakistan data (Table PK.TA005). Provides annual freight tonnage series from 1981. Direct access blocked by session proxy. Data accessed via search result summaries. Secondary source — primary is MoF Pakistan Railways Statistics."
S-02,Pakistan Railways Statistics (multiple indicators),CEIC / Ministry of Finance Pakistan,Updated 2024,https://www.ceicdata.com/en/pakistan/railways-statistics,2,"Covers freight carried (tonnes), tonne-km, wagons, passengers. Same underlying MoF source as S-01. Proxy blocked."
S-03,Pakistan Railways Annual Freight Report FY2024-25 (press release),Pakistan Railways / Ministry of Railways,January 2026,https://www.app.com.pk/national/railways-transports-8-2-mln-tonnes-of-freight-in-fiscal-year-2024-25/,1,"Official Pakistan Railways data reported via state news agency APP. Direct fetch blocked. Used via search result summary."
S-04,Pakistan Railways revenue hits record Rs88bn through outsourcing and reforms,Profit by Pakistan Today,March 2025,https://profit.pakistantoday.com.pk/2025/03/22/pakistan-railways-revenue-hits-record-rs88bn-through-outsourcing-reforms/,5,"Tier 5 business journalism. Revenue breakdown data consistent with other sources. Direct fetch blocked."
S-05,Railways earns record revenue of Rs88bn in fiscal year,Dawn,July 2024,https://www.dawn.com/news/1843010,5,"Dawn Business — Tier 5 credible journalism. Revenue and expense breakdown for FY2023-24. Direct fetch blocked."
S-06,Pakistan Railways revenue increases by 14% to Rs33 billion in five months,Profit by Pakistan Today,November 2024,https://profit.pakistantoday.com.pk/2024/11/30/pakistan-railways-revenue-increases-by-14-to-rs33-billion-in-five-months/,5,"Interim revenue figures. Used for corroboration only."
S-07,Railways revenue up 40pc to Rs88b during FY 2023-24,Pakistan Today,July 2024,https://www.pakistantoday.com.pk/2024/07/01/railways-revenue-up-40pc-to-rs88b-during-fy-2023-24,5,"Confirmed freight revenue Rs 28bn, passenger Rs 47bn, FY2023-24."
S-08,Pakistan Railways sees record passenger growth and revenue increase in 2023-24,The Nation,November 2024,https://www.nation.com.pk/17-Nov-2024/pakistan-railways-sees-record-passenger-growth-and-revenue-increase-in-2023-24,5,"Revenue breakdown data. Direct fetch blocked."
S-09,Railways achieve improved operation ratio with 98 trains running daily,APP / Daily Times,2024,https://www.app.com.pk/national/railways-achieve-improved-operation-ratio-with-98-trains-running-daily/,5,"Operating ratio ~98%. Staff costs and pension data noted."
S-10,NHA uses 56% of Rs223 billion PSDP funds in first half of FY26,Profit by Pakistan Today,March 2026,https://profit.pakistantoday.com.pk/2026/03/03/nha-uses-56-of-rs223-billion-psdp-funds-in-first-half-of-fy26/,5,"NHA PSDP allocation FY2025-26: Rs 223.28 billion. Direct fetch blocked."
S-11,Govt Allocates Rs 226.98 Billion for New and Ongoing Highway and Motorway Projects,ProPakistani,June 2026,https://propakistani.pk/2026/06/11/govt-allocates-rs-226-98-billion-for-new-and-ongoing-highway-and-motorway-projects/,5,"FY2026-27 highway allocation. Rs 224.51bn to NHA. Direct fetch blocked."
