source_id,title,institution,date,url,tier,notes
S01,Port performance (official cargo throughput statistics),Port Qasim Authority,FY2024-25 data (accessed 2026-08-22),https://www.pqa.gov.pk/en/port-operations/port-performance,Primary,"Directly fetched this session. Grand total 45.305 million tonnes FY2024-25 (13.48M dry + 19.091M liquid + 12.734M container by weight). Only direct primary-source fetch completed this session."
S02,Port statistics (official cargo throughput statistics),Karachi Port Trust,n.d.,https://kpt.gov.pk/pages/21/port-statistics,Primary,"NOT accessed — returned HTTP 503 (service unavailable) on two attempts this session. Not a hard block; retry before recording. KPT figures in this brief are sourced from press reporting instead (see S03-S06)."
S03,Karachi Port Cargo Surges Past 55 Million Tons in FY26,Profit by Pakistan Today,2026-08-01,https://profit.pakistantoday.com.pk/2026/08/01/kpt-cargo-throughput-surges-past-55-million-tons-in-fy26-on-import-boom,Tier-1 journalism,"FY2025-26 KPT throughput 55.44 million tons. Via WebSearch synthesis, not directly opened."
S04,KPT handles 55.44mt of cargo in FY26,Business Recorder,2026 (approx.),https://www.brecorder.com/news/40432804/kpt-handles-5544mt-of-cargo-in-fy26,Tier-1 journalism,"Corroborates S03. Via WebSearch synthesis."
S05,Pakistan's biggest port hits record 54 million tons in FY25 boosting trade prospects,Arab News,n.d. (FY25 reporting),https://www.arabnews.com/node/2606658/pakistan,Tier-1 journalism,"FY2024-25 KPT record: 53.95 million tons, 41.68M dry + 12.28M liquid + 2.65M TEU containers. Via WebSearch synthesis."
S06,Karachi Port Trust sets cargo handling record in 138-year history: maritime minister,Dawn,n.d.,https://www.dawn.com/news/2011398,Tier-1 journalism,"Corroborates FY2024-25 KPT record figure via ministerial statement. Via WebSearch synthesis."
S07,Gwadar Port Has More Ships Right Now than It Has Had in Years. That's Not What It Sounds Like,Sunday Guardian Live,n.d.,https://sundayguardianlive.com/news/gwadar-port-has-more-ships-right-now-than-it-has-had-in-years-thats-not-what-it-sounds-like-189680/,Tier-1 journalism,"2024/2025 Gwadar throughput figures (34,000 tonnes 2024, down from 592,000 tonnes 2023). Via WebSearch synthesis."
S08,Gwadar Port handles 200000 tonnes of transit breakbulk cargo amid Hormuz disruption,breakbulk.news (industry trade press),n.d. (2026),https://breakbulk.news/gwadar-port-handles-200000-tonnes-of-transit-breakbulk-cargo-amid-hormuz-disruption/,Tier-1 journalism (trade press),"2026 cargo uptick explicitly linked to Hormuz shipping disruption — key evidence for the counterargument section. Via WebSearch synthesis, direct fetch not attempted."
S09,Gwadar's missing cargo and fast-closing window,Asia Times,2026-07,https://asiatimes.com/2026/07/gwadars-missing-cargo-and-fast-closing-window/,Tier-1 journalism,"Direct fetch returned HTTP 403. Cited via WebSearch synthesis only — VERIFY via direct access before recording."
S10,Can Gwadar Port Handle Half of Pakistan's Cargo Shipments?,The Diplomat,2024-08,https://thediplomat.com/2024/08/can-gwadar-port-handle-half-of-pakistans-cargo-shipments/,Tier-1 journalism (regional affairs),"Direct fetch returned HTTP 403. Cited via WebSearch synthesis only — VERIFY via direct access before recording."
S11,"Gwadar port 'fully operational,' official tells Pakistan National Assembly",Arab News,2024-12 (approx.),https://www.arabnews.com/node/2582657/,Tier-1 journalism,"December 2024 parliamentary statement contradicting actual throughput data. Via WebSearch synthesis."
S12,Challenges hinder Gwadar Port's full-scale operations despite incentives: report,Profit by Pakistan Today,2025-02-14,https://profit.pakistantoday.com.pk/2025/02/14/challenges-hinder-gwadar-ports-full-scale-operations-despite-incentives-report/,Tier-1 journalism,"Direct fetch returned HTTP 403. Reports on a document submitted to PM Shehbaz Sharif identifying operational barriers. Cited via WebSearch synthesis only — locating the underlying report itself would be a stronger source."
S13,"'Gwadar is the future': China and Pakistan's troubled strategic port on the Arabian Sea",Middle East Institute,n.d.,https://mei.edu/publication/gwadar-future-china-and-pakistans-troubled-strategic-port-arabian-sea/,Secondary (think tank / regional affairs analysis),"CPEC investment figures ($46bn to $62bn), general Gwadar history. Via WebSearch synthesis."
S14,China has invested $248m in Gwadar Port in first phase,Express Tribune,n.d.,https://tribune.com.pk/story/1713686/1-china-invested-248m-gwadar-port-first-phase,Tier-1 journalism,"NOTE: headline figure ($248m) differs from the $1.62bn figure found elsewhere (S15) — these may refer to different phases/scopes and are not reconciled. VERIFY before citing either investment figure. Via WebSearch synthesis."
S15,International Port City Gwadar - Gwadar Port Investment,CPIC Global (China-linked investment promotion site),n.d.,https://www.cpicglobal.com/international-port-city-gwadar/,Secondary (promotional/investment marketing source — treat cautiously),"Source of the $1.62bn Phase I / possible duplicate $1.62bn Phase II figures. Being a promotional site for Gwadar investment, treat figures here as REPORTED at most, not VERIFIED, and cross-check against a neutral source before recording."
S16,What happened to China's port plans in Pakistan?,Charter Cities Institute,n.d.,https://chartercitiesinstitute.org/blog-posts/what-happened-to-chinas-port-plans-in-pakistan/,Secondary (urban policy think tank),"Gwadar 2016 operational timeline, berth count, initial capacity (137,000 containers/year). Via WebSearch synthesis."
S17,2.1.3 Pakistan Gwadar Port,Digital Logistics Capacity Assessments (Logistics Cluster),n.d.,https://lca.logcluster.org/213-pakistan-gwadar-port,Secondary (humanitarian logistics reference),"2017 cargo figures (145 TEUs project cargo, no general cargo vessel). Via WebSearch synthesis."
S18,BALOCHISTAN | Gwadar - Rato Dero Motorway (M-8) infrastructure tracking thread,SkyscraperCity Forum (community infrastructure tracking),n.d.,https://www.skyscrapercity.com/threads/balochistan-gwadar-rato-dero-motorway-m-8-832-km-infrastructure-u-c.2363436/,Secondary (community-maintained, cross-check recommended),"M-8 motorway construction status and segment-by-segment progress. Community-sourced — cross-check key figures against NHA official statements before recording."
S19,M-8 motorway (Pakistan),Wikipedia,n.d.,https://en.wikipedia.org/wiki/M-8_motorway_(Pakistan),Secondary,"General reference for M-8 route length and segment history. Via WebSearch synthesis."
