source_id,title,institution,date,url,tier,notes
S01,Imran Khan Cancer Appeal Inc — Nonprofit Explorer (Form 990 data),ProPublica,accessed 2026-08-25,https://projects.propublica.org/nonprofits/organizations/133626299,"Primary (IRS filing, republished)","Directly fetched and read in full. Multi-year revenue/expense history FY2011-2024 for the US fundraising chapter — the strongest-sourced figures in this brief."
S02,Charity Navigator rating page for EIN 13-3626299,Charity Navigator,accessed 2026-08-25,https://www.charitynavigator.org/ein/133626299,Secondary (charity watchdog),"Directly fetched and read in full. Four-Star rating, 91% score, mission description."
S03,Facts and Statistics,Shaukat Khanum Memorial Cancer Hospital & Research Centres (official site),n.d.,https://shaukatkhanum.org.pk/about-us/facts-and-statistics/,Primary,"Direct fetch returned HTTP 403. Via WebSearch synthesis only — VERIFY. Should be opened directly by a human before recording."
S04,Financial Statistics,Shaukat Khanum Memorial Cancer Hospital & Research Centres (official site),n.d.,https://shaukatkhanum.org.pk/financial-statistics/,Primary,"Direct fetch returned HTTP 403. Via WebSearch synthesis only — VERIFY. Primary source for the hospital's own audited financial disclosures; should be opened directly."
S05,Annual Report,Shaukat Khanum Memorial Cancer Hospital & Research Centres (official site),n.d.,https://shaukatkhanum.org.pk/about-us/publications/annual-report/,Primary,"Direct fetch returned HTTP 403. Via WebSearch synthesis only — VERIFY. Not yet located as a specific year's PDF; should be opened directly."
S06,Zakat page,Shaukat Khanum Memorial Cancer Hospital & Research Centres (official site),n.d.,https://shaukatkhanum.org.pk/donors/zakat/,Primary,"Direct fetch returned HTTP 403. Via WebSearch synthesis only — VERIFY."
S07,Financial Assistance Programme,Shaukat Khanum Memorial Cancer Hospital & Research Centres (official site),n.d.,https://shaukatkhanum.org.pk/patients-families/financial-assistance-programme/,Primary,"Via WebSearch synthesis only — VERIFY. Describes the financial-support assessment process."
S08,"Over 90pc visitors get free treatment at Peshawar cancer hospital",Dawn,n.d.,https://www.dawn.com/news/1823475,Tier-1 journalism,"Via WebSearch synthesis only — VERIFY. Peshawar-specific free-treatment figure, not yet reconciled with the 75% network-wide figure."
S09,"75pc get free treatment at Shaukat Khanum",Dawn,n.d.,https://www.dawn.com/news/1082568,Tier-1 journalism,"Via WebSearch synthesis only — VERIFY. Source of cumulative patient count, Rs88bn free-care figure, and 75% figure."
S10,SHAUKAT KHANUM MEMORIAL TRUST — charity overview (#1000580),UK Charity Commission,n.d.,https://register-of-charities.charitycommission.gov.uk/en/charity-search/-/charity-details/1000580,Primary,"Direct fetch returned HTTP 403. Via WebSearch synthesis only — VERIFY. Income/spending figures found have an unconfirmed financial year."
S11,SHAUKAT KHANUM MEMORIAL TRUST — full filing print (#1000580),UK Charity Commission,n.d.,https://register-of-charities.charitycommission.gov.uk/en/charity-search/-/charity-details/1000580/full-print,Primary,"Direct fetch returned HTTP 403. Would give year-by-year audited figures; candidate for a follow-up pass."
S12,SKMCH&RC Fund Meter budget updates (2024-2026),Shaukat Khanum Memorial Cancer Hospital & Research Centres (official social media),2024-2026,https://www.facebook.com/skmch,Primary (institutional self-disclosure),"Via WebSearch synthesis only — VERIFY. Source of the Rs34.8bn/38bn/43.3bn annual budget figures; not an audited report."
S13,"Prising trend of cancer in Pakistan: an urgent call for action",Journal of the College of Physicians and Surgeons Pakistan (JCPSP),n.d.,https://www.jcpsp.pk/article-detail/prising-trend-of-cancer-in-pakistan-an-urgent-call-for-actionorp,Secondary (peer-reviewed medical journal),"Via WebSearch synthesis only — VERIFY. Source of the oncologist-shortage and centers-count figures."
S14,"Experience of Pharmacists with Anti-Cancer Medicine Shortages in Pakistan: Results of a Qualitative Study",PMC / NCBI,n.d.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9740989/,Secondary (peer-reviewed medical journal),"Via WebSearch synthesis only — VERIFY. Source of the chemotherapy drug-shortage claim."
S15,"A review of access to cancer facilities in Punjab, Pakistan",PMC / ResearchGate,n.d.,https://pmc.ncbi.nlm.nih.gov/articles/PMC7941486/,Secondary (peer-reviewed medical journal),"Identified via search, not yet read in full. Candidate for strengthening the public-sector capacity claims in a follow-up pass."
S16,"Challenges in Access to New Therapeutic Agents: Marginalized Patients With Cancer in Pakistan",JCO Global Oncology / ASCO Publications,n.d.,https://ascopubs.org/doi/10.1200/GO.21.00132,Secondary (peer-reviewed medical journal),"Identified via search, not yet read in full."
S17,"Construction of Pakistan's largest Shaukat Khanum Hospital commences in Karachi",Profit by Pakistan Today,2019-02-25,https://profit.pakistantoday.com.pk/2019/02/25/construction-of-pakistans-largest-shaukat-khanum-hospital-commences-in-karachi/,Tier-1 journalism,"Via WebSearch synthesis only — VERIFY. Earlier (2019) cost/timeline estimate for the Karachi campus."
S18,"Construction of Pakistan's third and biggest Shaukat Khanum Hospital Karachi is underway",Daily Times,n.d.,https://dailytimes.com.pk/709921/construction-of-pakistans-third-and-biggest-shaukat-khanum-hospital-karachi-is-underway/,Tier-1 journalism,"Via WebSearch synthesis only — VERIFY. Later, higher cost estimate and revised opening date for the Karachi campus."
S19,"First phase of Shaukat Khanum to be complete on December 29",The Express Tribune,n.d.,https://tribune.com.pk/story/1015986/initial-stages-first-phase-of-shaukat-khanum-to-be-complete-on-december-29,Tier-1 journalism,"Via WebSearch synthesis only — VERIFY. Source of the Peshawar campus opening date and first-phase cost."
S20,"Shaukat Khanum Memorial Cancer Hospital and Research Centre Endowment Fund",ResearchGate (academic case study),n.d.,https://www.researchgate.net/publication/280210273_Shaukat_Khanum_Memorial_Cancer_Hospital_and_Research_Centre_Endowment_Fund,Secondary (academic case study),"Via WebSearch synthesis only — VERIFY. Source of the endowment fund's 2008 Oman real-estate investment detail; deliberately the only fact taken from a cluster of search results otherwise concerning an excluded funding-controversy topic."
S21,"Witness to hope: 30-year journey of Shaukat Khanum Hospital",The News,n.d.,https://www.thenews.com.pk/print/1299053-witness-to-hope-30-year-journey-of-shaukat-khanum-hospital,Tier-1 journalism,"Identified via search, not yet read in full. Candidate for additional historical/expansion detail."
